Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 33
Table 15. Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from fattening pigs collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Austria,301,65.8,57.1-68.3,62.3,53.7-65.1,10.3,7.2-14.4,0.3,0-2.1,3.5,1.6-6,0,0-1.2,0,0-1.2
Belgium,300,39.6,31.8-43.1,32.2,25.2-35.9,8.7,5.8-12.6,0.3,0-2.1,7.4,4.4-10.5,0,0-1.2,0,0-1.2
Bulgaria,191,30.9,24.4-38,30.9,24.4-38,12.6,8.4-18.3,0,0-1.9,0.5,0-2.9,0.5,0-2.9,0,0-1.9
Croatia,261,65.4,25.8-71.3,57.4,22.3-63.5,11.5,8-16.2,0,0-1.4,8,1.9-12,0,0-1.4,0,0-1.4
Czechia*,302,50.3,44.5-56.1,32.1,26.9-37.7,,,,,18.2,14-23,0,0-1.2,,0-1.2
Denmark,272,20.2,15.3-25.1,4.1,2-7.1,1.5,0.5-4,0,0-1.3,16.1,11.7-20.7,0,0-1.3,0,0-1.3
Estonia,158,31.6,24.5-39.5,22.2,15.9-29.4,0,0-2.3,0,0-2.3,9.5,5.4-15.2,0,0-2.3,0,0-2.3
Finland*,307,6.5,4-9.9,0.7,0.1-2.3,,,,,5.9,3.5-9.1,0,0-1.2,,0-1.2
France,350,10.9,7.8-14.6,9.7,6.8-13.3,1.4,0.5-3.5,0.9,0.2-2.7,2,0.8-4.1,0.9,0.2-2.5,0,0-1
Germany*,382,42.9,37.9-48.1,36.4,31.6-41.4,,,,,6.5,4.3-9.5,0,0-1,,0-1
Greece,74,35.1,24.4-47.1,33.8,23.2-45.7,0,0-4.7,0,0-4.7,1.3,0-7.3,0,0-4.9,0,0-4.9
Hungary,300,67,61.4-72.3,53.3,47.5-59.1,16.7,12.7-21.5,0.3,0-2.1,14.3,10.6-18.8,0.7,0.1-2.4,0,0-1.2
Ireland,300,37.7,32.2-43.4,24,19.3-29.2,13.3,9.8-17.8,0,0-1.2,14.7,10.9-19.2,1,0.2-2.9,0,0-1.2
Italy*,301,80.7,75.8-85,62.4,56.7-67.9,,,,,18.6,14.4-23.5,0.3,0-1.8,,0-1.2
Latvia,152,50,41.8-58.2,49.4,41.1-57.6,19.1,13.3-26.4,0,0-2.3,0.7,0-3.6,0,0-2.4,0,0-2.4
Lithuania,150,38,30.2-46.3,28.7,21.6-36.6,6.7,3.4-12.2,0,0-2.4,9.3,5.2-15.2,0,0-2.4,0,0-2.4
Luxembourg,206,42.7,35.9-49.8,40.3,33.5-47.3,14.1,9.8-19.8,0,0-1.7,3.4,1.4-6.9,1,0.1-3.5,0,0-1.8
Malta,128,26.6,19.1-35.1,26.6,19.1-35.1,2.9,0.2-17.1,8.8,2.3-24.8,3.9,1.3-8.9,3.9,1.3-8.9,0,0-2.8
Netherlands,300,9.3,11.7-20.3,8.7,5.7-12.4,1.7,0.6-4.1,0,0-1.2,7,4.4-10.5,0,0-1.2,0,0-1.2
Poland,302,35.1,29.7-40.8,28.5,23.5-33.9,3.3,1.7-6.2,0.3,0-2.1,6.9,4.4-10.4,0.3,0-1.8,0,0-1.2
Portugal,99,51.5,38.3-58.7,46.2,33.5-53.8,6.1,2.5-13.2,1,0.1-6.3,9.7,4.2-16.6,4.3,1.1-10,0,0-3.7
Romania,239,69.5,63.2-75.2,55.2,48.7-61.6,10.5,7-15.2,0.8,0.1-3.3,16.4,11.9-21.6,2.1,0.7-4.8,0,0-1.5
Slovakia,149,58.4,50-66.4,43.6,35.5-52,19.5,13.6-26.9,0.7,0-4.2,16.8,11.2-23.8,2,0.4-5.8,0,0-2.4
Slovenia,153,57.5,49.3-65.5,24.2,17.6-31.8,8.5,4.8-14.4,0,0-2.3,34,26.5-42.1,0.6,0-3.6,0,0-2.4
