Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
France,72,6.9,0.0,5.6,54.2,6.9,6.9,0.0,0.0,15.3,19.4,0.0,0.0,47.2,31.9,36.1,29.2,37.5,4.2,0.0
Germany,28,46.4,0.0,17.9,64.3,57.1,53.6,0.0,0.0,75.0,82.1,0.0,0.0,60.7,39.3,39.3,10.7,75.0,53.6,28.6
Hungary,36,2.8,0.0,8.3,38.9,0.0,0.0,0.0,5.6,97.2,100.0,2.8,5.6,22.2,27.8,63.9,0.0,52.8,0.0,0.0
Ireland,18,11.1,0.0,0.0,33.3,27.8,27.8,0.0,0.0,44.4,44.4,0.0,0.0,33.3,27.8,44.4,22.2,44.4,22.2,16.7
Netherlands,111,11.7,0.0,9.0,51.4,22.5,21.6,0.0,4.5,39.6,41.4,0.9,0.9,38.7,32.4,37.8,27.0,48.6,17.1,12.6
Poland,96,5.2,0.0,7.3,42.7,1.0,1.0,0.0,0.0,82.3,91.7,3.1,4.2,38.5,36.5,47.9,7.3,47.9,1.0,1.0
Romania,6,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,83.3,83.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0
Spain,32,28.1,0.0,9.4,46.9,25.0,31.3,0.0,0.0,46.9,43.8,0.0,9.4,56.3,34.4,31.3,18.8,56.3,15.6,3.1
Total (8 MSs),399,12.0,0.0,8.0,48.6,15.0,15.0,0.0,1.8,54.6,58.6,1.3,2.5,40.9,32.8,42.1,17.8,48.4,11.8,6.8
Median (MSs),34,9.0,0.0,7.8,49.1,14.7,14.3,0.0,0.0,60.9,63.3,0.0,0.5,38.6,32.2,38.6,14.7,48.3,9.9,2.1
