Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
Austria,174,3.4,0.6,1.1,46.0,0.0,0.0,0.0,0.0,39.7,41.4,0.6,0.0,35.1,29.3,23.6,29.3,33.9,0.0,0.0
Belgium,168,13.7,0.0,23.8,79.2,3.6,3.6,0.0,1.2,50.0,53.6,3.0,0.6,65.5,50.6,48.2,7.1,67.9,2.4,0.6
Bulgaria,86,7.0,0.0,16.3,58.1,0.0,0.0,0.0,5.8,65.1,74.4,1.2,3.5,54.7,39.5,46.5,9.3,55.8,0.0,0.0
Croatia,85,8.2,0.0,7.1,60.0,0.0,0.0,0.0,0.0,78.8,80.0,1.2,0.0,38.8,35.3,47.1,8.2,48.2,0.0,0.0
Cyprus,110,3.6,0.0,31.8,88.2,7.3,7.3,0.0,0.0,84.5,94.5,0.0,8.2,69.1,56.4,78.2,2.7,85.5,7.3,3.6
Czechia,184,4.3,0.0,6.0,34.8,0.0,0.0,0.0,0.0,77.7,77.7,0.0,0.0,25.5,21.2,17.4,17.4,29.3,0.0,0.0
Denmark,195,3.1,0.0,0.5,8.7,0.0,0.0,0.0,0.0,17.9,17.9,0.0,0.0,14.4,5.1,5.1,67.2,7.7,0.0,0.0
Estonia,149,2.7,2.0,10.1,35.6,2.0,2.0,0.0,1.3,50.3,51.0,0.7,0.7,14.1,2.7,24.8,38.9,21.5,1.3,0.7
Finland,170,1.2,0.0,0.0,3.5,0.0,0.0,0.0,0.0,7.6,7.6,0.0,0.0,7.1,4.7,10.0,80.0,3.5,0.0,0.0
France,205,3.4,0.0,5.4,37.6,0.0,0.0,0.0,0.0,23.4,25.9,0.0,2.0,37.1,32.7,29.3,43.4,35.1,0.0,0.0
Germany,274,9.9,0.0,7.3,57.3,1.8,1.5,0.0,0.4,54.4,56.9,8.0,2.9,55.5,38.7,34.3,17.9,50.4,1.8,0.4
Greece,121,22.3,0.0,28.9,79.3,0.8,0.8,0.0,0.0,79.3,81.8,2.5,0.8,62.8,56.2,54.5,5.0,77.7,0.8,0.0
Hungary,170,3.5,0.0,13.5,46.5,0.6,0.6,0.0,1.2,75.3,80.6,2.4,0.0,22.4,17.1,30.6,14.7,35.9,0.6,0.6
Ireland,170,0.0,0.0,10.0,34.7,0.6,0.6,0.0,0.0,12.4,12.9,0.0,0.0,19.4,18.8,23.5,39.4,15.9,0.6,0.0
Italy,170,4.7,0.0,8.8,51.2,0.0,0.0,0.0,0.6,36.5,41.8,0.0,0.6,37.1,25.3,41.8,27.6,40.6,0.0,0.0
Latvia,150,0.7,0.0,6.0,26.0,0.0,0.0,0.0,0.0,48.0,47.3,0.0,0.0,15.3,19.3,24.0,42.7,25.3,0.0,0.0
Lithuania,100,9.0,0.0,21.0,78.0,0.0,0.0,0.0,0.0,76.0,77.0,0.0,0.0,73.0,62.0,54.0,7.0,79.0,0.0,0.0
Luxembourg,20,0.0,0.0,20.0,50.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,35.0,20.0,55.0,20.0,40.0,0.0,0.0
Malta,127,3.1,0.8,23.6,63.0,8.7,8.7,0.0,3.9,39.4,54.3,11.0,0.0,46.5,36.2,52.8,20.5,55.9,8.7,2.4
Netherlands,300,3.7,0.0,3.0,37.0,0.3,0.3,0.0,0.0,26.7,28.0,0.7,0.0,34.0,23.7,18.0,42.3,31.3,0.3,0.3
Poland,184,10.9,0.0,29.9,82.6,4.9,4.9,0.0,8.2,76.1,87.0,1.6,4.3,65.8,60.9,71.2,7.1,81.5,4.9,1.6
Portugal,170,8.8,0.0,10.6,60.0,1.2,1.2,0.0,1.2,66.5,76.5,5.3,0.0,54.1,34.7,55.3,6.5,62.9,0.6,0.0
Romania,170,17.1,0.0,22.9,58.2,4.1,4.1,0.0,0.6,90.0,94.1,10.6,2.4,49.4,37.6,54.7,2.4,63.5,4.1,3.5
Slovakia,85,7.1,0.0,23.5,68.2,0.0,0.0,0.0,0.0,89.4,89.4,0.0,0.0,52.9,43.5,55.3,4.7,61.2,0.0,0.0
Slovenia,85,2.4,0.0,9.4,57.6,0.0,0.0,0.0,1.2,63.5,65.9,1.2,0.0,30.6,18.8,43.5,14.1,37.6,0.0,0.0
Spain,170,7.6,0.0,8.2,31.8,0.6,0.6,0.0,0.0,54.7,62.9,1.2,0.0,17.6,10.0,30.0,21.8,28.8,0.6,0.0
Sweden,179,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.6,9.5,6.7,68.7,7.8,0.0,0.0
