Go To Sheet,Sheet Name,Table Legend,Link
19,Occurrence fattening pigs,Occurrence of presumptive ESBL-/AmpC-/CP-producing Escherichia coli isolates from fattening pigs collected within the specific monitoring of ESBL-/AmpC-/CP-producers in 2023 ,Go To Sheet
20,Prevalence cattle meat,Prevalence of presumptive ESBL-/AmpC-/CP-producing Escherichia coli isolates in cattle meat at retail collected within the specific monitoring of ESBL-/AmpC-/CP-producers in 2023 ,Go To Sheet
21,Occurrence cattle meat,Occurrence of presumptive ESBL-/AmpC-/CP-producing Escherichia coli isolates in cattle meat at retail collected within the specific monitoring of ESBL-/AmpC-/CP-producers in 2023,Go To Sheet
22,Prevalence cattle <1 year,Prevalence of presumptive ESBL-/AmpC-/CP-producing Escherichia coli isolates from cattle under 1 year collected within the specific monitoring of ESBL-/AmpC-/CP-producers in 2023 ,Go To Sheet
23,Occurrence cattle <1 year,Occurrence of presumptive ESBL-/AmpC-/CP-producing Escherichia coli isolates from cattle under 1 year collected within the specific monitoring of ESBL-/AmpC-/CP-producers in 2023 ,Go To Sheet
24,Samples investigated CP-producers,Number of samples investigated and number of presumptive carbapenemase-producing Escherichia coli in the specific monitoring of CP-producers in 2022-2023,Go To Sheet
25,Occurrence retail meat and imported meat,"Occurrence and prevalence of ESBL-/AmpC-/CP-producing Escherichia coli in samples from pig meat, cattle meat, broiler meat and turkey meat sampled at retail and border control posts, EU MSs and non-MSs, 2022-2023",Go To Sheet

,Abbreviations,Description
,ESBL,extended-spectrum betalactamase; 
,CAZ,ceftazidime
,CI,Confidence interval
,CLA,clavulanate
,CP,carbapenemase
,CTX,cefotaxime
,MSs,Member States
,n,number of isolates with the phenotype 
,nCP,nCP: number of CP positive isolates
,non-MSs,non-Member States
,NP1,total number of isolates tested with panel 1
,NP2,total number of isolates tested with Panel 2 or whole genome sequencing
,NS,"number of samples collected at slaughterhouse (fattening pigs, cattle under one year, broilers, fattening turkeys) or retail (pig meat, cattle meat, broiler meat and turkey meat); "
,O%,% of isolates from the total number of isolates tested with Panel 2
,P%,% of isolates from the total number of smaples tested
,SYN,synergy
,%,percentage of isolates from the total number tested


,Note,Description
,(a),"According to EUCAST guidelines (EUCAST, 2019), only isolates showing MIC >1 mg/L for CTX and/or CAZ were considered (see Appendix B)"
,(b),"All isoaltes showing clavulanate synergy with CTX or CAZ or both, suggesting ESBL phenotype, or reported presence of ESBL-encoding gene."
,( c),"Isolates showing synergy with CTX only, suggesting presence of ESBL with cefotaximase activity."
,(d),"Isolates showing synergy with CAZ only, suggesting presence of ESBL with ceftazidimase activity."
,( e),"Isolates with cefoxitin resistance, suggesting AmpC phenotype, or reported presence of AmpC-encoding gene."
,(f),"Isolates showing synergy with CTX or CAZ and cefoxitin resistance, suggesting ESBL- and AmpC enzymes in the same isolates, or both ESBL- and AmpC-encoding genes reported."
,(g),Isolates with meropenem resistance or CP-encoding gene reported.
